2020-03-30 20:55:42.527 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585572942525, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 20:59:55.473 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585573194517, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 21:05:26.108 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585573526107, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 21:38:52.684 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585575532683, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 21:45:32.717 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585575932716, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 21:49:13.556 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585576153555, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 21:50:58.129 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585576258126, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 22:03:35.078 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585577015077, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 22:06:22.572 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585577182571, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 22:08:02.723 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585577282722, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 22:13:39.642 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585577619641, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 22:14:43.006 [main] INFO  cn.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585577683005, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
2020-03-30 22:51:59.763 [main] INFO  c.net.health.user.aop.dynamic.DataChangeListerImpl - user update data=MongoUser(userId=1585579919762, roleId=null, nickName=null, userName=xiyou, passWord=null, salt=null, state=null, updateTime=null, createTime=null, phone=null, mail=null, qq=null, imgUrl=null)
